clean_review,aspect,y
great phone budget pubg performance rough camera worsen old update ni8 mode cam aadde -PRON- phone also bad stupid phone,battery,0
good smartphone mi range malfunction -PRON- -PRON- r confuse samsung m30 mi note 7 pro mi badly look price range also samsung bad -PRON- amoled display whis attend mi phone overall stop -PRON-,battery,0
bad smooth phone back camera quality bad rear camera big bit high value money,processor,0
thise nice mobile like -PRON- much delivery also fast lockdown happy -PRON- thank -PRON- mi redmi,phone,1
meagerly fall short thumb section r superb delivery guy also politeness like part battery backup really awesome malfunction -PRON- tq u flipkart two heart two heart,battery,0
great product price segmentit deliver well performance well picture quality well battery backup,battery,1
front camera awesome rear camera little bit good enough phone run smoothly battery backup good 3080 mah power backup,battery,1
love phone camera feature buy -PRON- mother -PRON- absolutely love -PRON- thank flipkart,battery,1
redmi note5 pro effortlessly set new standard performance camera quality segmentgreat new evolution design high quality 189 screen slim bezel spectacular performance excellent battery life superb camera low light portrait front rear camera,battery,1
nice mobile bettery first one half day good performance lag camera bad daylight ok law light unsound outpit speaker large soft ms ng mobiles nasty fast delivery flipkart,battery,0
use android phone use iphone last 10 year change -PRON- mind buy note 9pro really amazing phone nice hd display camera battery processer worth -PRON- thanks redmi,battery,1
mobile good handy light weightactually mobile seal open customer care mam speak politely cancel return option open mobile use nowmobile good freefire pubg awesome battery ertra ordinary standbythank flipkart particular mam bouquet bouquet bouquet smile face heart thumb,battery,1
-PRON- badly thumb -PRON- unlucky product smile face sunglass hate product -PRON- low price pensive face waste money save money dangerous waste money,battery,0
great phonei love itbt prlbmcamera laggingit -PRON- humble reqst plz solve prblm soon possibleotherwise verry happy use phone,battery,1
-PRON- budget phone dissatisfy battery unsound quality specially delivery also warm flipkart -PRON- first attempt deliver,battery,0
apart camera average display everything great phone -PRON- awesome build quality likely -PRON- need back cover -PRON- sturdy grippy plastic back,battery,1
good product great price camera good class smooth pubg experience handy phone,processor,1
excellent camera front rare ram 6 gb ram fast internet game nice slim stylish look,battery,1
dear mi plz focus rear cameraif -PRON- improve thatthan one beat uand surely u rock smartphone world,battery,1
good product nice delivery alsoi think -PRON- good -PRON- valuemiui10 preinstalle good,battery,1
awesome phone budget1display awesome2camera also awesome 3performance also awesome sometimes -PRON- lag minor lag 4i play pubg -PRON- -PRON- run pubg smoothultra also point phone perfect phone budget issue delivery also good get phone 2 day,battery,1
phone quality overall good like producti gift phone -PRON- son -PRON- happy use iti also satisfied flipkart,battery,1
-PRON- handy heavy sleek pay little attention camera -PRON- evil enough obviate bad battery difficult carry phone serve purpose price imperfect,battery,0
looks flagship mobile narrow camera bad screen bad heavy weight notification follow immobile cover -PRON- mention nfc area feature,battery,0
thank -PRON- flipkart prove great experience door step amazing experienceget fast delivery -PRON- good phone price range,battery,1
product gud deliver date expect delivery person behaviour gud thanks flipkart,battery,1
colour marvelous 1st phone good price range camera good perfect package,processor,1
evil phone range exchange mi ignore 3 battery unusual evil touch screen fast finger lock superbly work face recognition also bad forget isue ram may back also mark overall bad budget phone,battery,0
awesome phone xiomi value money camera evil specially level camera display bad front camera average phone quite slow,delivery,0
awesome product dislike little also quick deliveryover experience nasty let see -PRON- idle present,delivery,0
wow classy product -PRON- leave 6 gb ram affordable price compare -PRON- segment market bad camera bear -PRON-,battery,0
-PRON- perfect price high budget peopleand -PRON- evil -PRON- performance 675 processor bad -PRON- value money unworthy,battery,0
one well affordable stylish budget smartphone cost also amazing level performancecamera good performance big game like cod n pubg run smoothly look premium smartphone,battery,1
phone partly worth money -PRON- bad processor enough multitasking -PRON- 30800mah battery bad running time -PRON- camera also bad budget,battery,0
superb price rangedisplay 910battery910camera7510features1010mi apps910miui9 ok hand ok hand ok handif u like review plz thumb,battery,0
